annee;saison;nb
1990;1;9223
1991;1;4342
1992;1;3301
1993;1;1526
1994;1;1936
1995;1;4169
1996;1;2660
1997;1;3631
1998;1;2966
1999;1;3022
2000;1;4639
2001;1;4514
2002;1;3995
2003;1;8041
2004;1;6347
2005;1;7164
2006;1;6678
2007;1;5726
1990;2;4096
1991;2;5367
1992;2;3196
1993;2;3238
1994;2;2659
1995;2;4036
1996;2;3940
1997;2;4176
1998;2;4750
1999;2;3838
2000;2;8111
2001;2;3499
2002;2;6339
2003;2;6908
2004;2;6055
2005;2;3931
2006;2;6710
2007;2;8336
1990;3;2926
1991;3;1570
1992;3;2386
1993;3;2863
1994;3;2243
1995;3;3286
1996;3;1061
1997;3;442
1998;3;2652
1999;3;1599
2000;3;1705
2001;3;4924
2002;3;4309
2003;3;2736
2004;3;3036
2005;3;3146
2006;3;3808
2007;3;3408
1990;4;0
1991;4;0
1992;4;0
1993;4;0
1994;4;0
1995;4;0
1996;4;0
1997;4;0
1998;4;0
1999;4;0
2000;4;0
2001;4;0
2002;4;0
2003;4;0
2004;4;0
2005;4;0
2006;4;0
2007;4;0
