annee;saison;effort
1990;1;22827,84762
1991;1;24814,32971
1992;1;17556,69117
1993;1;22913,96325
1994;1;31865,55089
1995;1;29927,782
1996;1;31915,96543
1997;1;27415,18346
1998;1;19796,73991
1999;1;27595,1774
2000;1;26692,27507
2001;1;25164,77009
2002;1;27073,96484
2003;1;20627,44838
2004;1;26669,91186
2005;1;27611,67854
2006;1;16751,50632
2007;1;16201,62619
1990;2;17687,91053
1991;2;20217,59984
1992;2;20349,22873
1993;2;22063,72857
1994;2;23472,09822
1995;2;12580,94507
1996;2;7753,273221
1997;2;12240,40223
1998;2;15293,61108
1999;2;13917,58897
2000;2;16749,13176
2001;2;8987,81123
2002;2;20866,9254
2003;2;11583,43377
2004;2;15401,57236
2005;2;8830,480466
2006;2;14564,92197
2007;2;18247,17806
1990;3;7181,971118
1991;3;8427,687441
1992;3;22193,95743
1993;3;23316,48999
1994;3;14516,7995
1995;3;1913,428333
1996;3;1311,755465
1997;3;438,4829324
1998;3;5979,489571
1999;3;3098,528356
2000;3;4542,417493
2001;3;27163,29301
2002;3;5562,167866
2003;3;3504,726365
2004;3;6005,066999
2005;3;3270,378347
2006;3;11959,87024
2007;3;2688,129
1990;4;0
1991;4;0
1992;4;0
1993;4;0
1994;4;0
1995;4;0
1996;4;0
1997;4;0
1998;4;0
1999;4;0
2000;4;0
2001;4;0
2002;4;0
2003;4;0
2004;4;0
2005;4;0
2006;4;0
2007;4;0
