zpc;annee;lc;ma;fp;fm;tot;eff_std;nue_ma;nue_fp;nue_fm;nue_tot
8;1982;5.25;0;0;0;0;12253.949;0;0;0;0
8;1982;5.75;0;0;0;0;12253.949;0;0;0;0
8;1982;6.25;0;0;0;0;12253.949;0;0;0;0
8;1982;6.75;0;0;0;0;12253.949;0;0;0;0
8;1982;7.25;0;0;0;0;12253.949;0;0;0;0
8;1982;7.75;0;0;0;0;12253.949;0;0;0;0
8;1982;8.25;0;0;0;0;12253.949;0;0;0;0
8;1982;8.75;155310;0;0;155310;12253.949;12.674;0;0;12.674
8;1982;9.25;13293;0;0;13293;12253.949;1.085;0;0;1.085
8;1982;9.75;958450;0;0;958450;12253.949;78.216;0;0;78.216
8;1982;10.25;1282365;0;0;1282365;12253.949;104.649;0;0;104.649
8;1982;10.75;1504141;0;0;1504141;12253.949;122.747;0;0;122.747
8;1982;11.25;1927011;0;0;1927011;12253.949;157.256;0;0;157.256
8;1982;11.75;1433002;0;0;1433002;12253.949;116.942;0;0;116.942
8;1982;12.25;1707334;0;0;1707334;12253.949;139.329;0;0;139.329
8;1982;12.75;1282359;0;0;1282359;12253.949;104.649;0;0;104.649
8;1982;13.25;2342948;0;0;2342948;12253.949;191.199;0;0;191.199
8;1982;13.75;2852351;0;0;2852351;12253.949;232.77;0;0;232.77
8;1982;14.25;5242777;0;0;5242777;12253.949;427.844;0;0;427.844
8;1982;14.75;3265519;0;0;3265519;12253.949;266.487;0;0;266.487
8;1982;15.25;3053855;0;0;3053855;12253.949;249.214;0;0;249.214
8;1982;15.75;7048660;0;0;7048660;12253.949;575.215;0;0;575.215
8;1982;16.25;9031400;0;0;9031400;12253.949;737.02;0;0;737.02
8;1982;16.75;15548329;0;0;15548329;12253.949;1268.842;0;0;1268.842
8;1982;17.25;18597712;0;0;18597712;12253.949;1517.691;0;0;1517.691
8;1982;17.75;27683783;155310;0;27839093;12253.949;2259.172;12.674;0;2271.847
8;1982;18.25;25799815;446940;0;26246755;12253.949;2105.429;36.473;0;2141.902
8;1982;18.75;25841639;378781;13293;26233713;12253.949;2108.842;30.911;1.085;2140.837
8;1982;19.25;16789767;0;0;16789767;12253.949;1370.152;0;0;1370.152
8;1982;19.75;10749970;534091;155310;11439371;12253.949;877.266;43.585;12.674;933.525
8;1982;20.25;7649256;1195214;236763;9081233;12253.949;624.228;97.537;19.321;741.086
8;1982;20.75;5795644;572277;155310;6523231;12253.949;472.961;46.701;12.674;532.337
8;1982;21.25;7052700;3295908;465931;10814539;12253.949;575.545;268.967;38.023;882.535
8;1982;21.75;5158591;3760553;492517;9411661;12253.949;420.974;306.885;40.193;768.051
8;1982;22.25;2333037;5135354;647828;8116219;12253.949;190.391;419.077;52.867;662.335
8;1982;22.75;1935061;5352920;1377111;8665092;12253.949;157.913;436.832;112.381;707.126
8;1982;23.25;694890;3299287;3415342;7409519;12253.949;56.707;269.243;278.714;604.664
8;1982;23.75;422252;5068264;4313433;9803949;12253.949;34.458;413.603;352.004;800.064
8;1982;24.25;204480;4884055;8708113;13796648;12253.949;16.687;398.57;710.637;1125.894
8;1982;24.75;68160;5535266;12210196;17813622;12253.949;5.562;451.713;996.429;1453.705
8;1982;25.25;0;3595789;14096500;17692289;12253.949;0;293.439;1150.364;1443.803
8;1982;25.75;0;2452060;15231349;17683409;12253.949;0;200.104;1242.975;1443.078
8;1982;26.25;68160;1717289;10398814;12184263;12253.949;5.562;140.142;848.609;994.313
8;1982;26.75;0;1158717;7676671;8835388;12253.949;0;94.559;626.465;721.024
8;1982;27.25;0;477119;6263278;6740397;12253.949;0;38.936;511.123;550.059
8;1982;27.75;0;204480;3189558;3394038;12253.949;0;16.687;260.288;276.975
8;1982;28.25;0;136319;1055094;1191413;12253.949;0;11.124;86.102;97.227
8;1982;28.75;0;136319;799339;935658;12253.949;0;11.124;65.231;76.356
8;1982;29.25;0;0;149612;149612;12253.949;0;0;12.209;12.209
8;1982;29.75;0;0;204480;204480;12253.949;0;0;16.687;16.687
8;1982;30.25;0;0;0;0;12253.949;0;0;0;0
8;1982;30.75;0;0;0;0;12253.949;0;0;0;0
8;1982;31.25;0;0;0;0;12253.949;0;0;0;0
8;1982;31.75;0;0;0;0;12253.949;0;0;0;0
8;1983;5.25;0;0;0;0;21793.015;0;0;0;0
8;1983;5.75;0;0;0;0;21793.015;0;0;0;0
8;1983;6.25;0;0;0;0;21793.015;0;0;0;0
8;1983;6.75;0;0;0;0;21793.015;0;0;0;0
