annee;zone;sexe2;lc;newstrata;sexe1;abd_lc
1990;8;fm;0.25;0;fe;0
1990;8;fm;0.75;0;fe;0
1990;8;fm;1.25;0;fe;0
1990;8;fm;1.75;0;fe;0
1990;8;fm;2.25;0;fe;0
1990;8;fm;2.75;0;fe;0
1990;8;fm;3.25;0;fe;0
1990;8;fm;3.75;0;fe;0
1990;8;fm;4.25;0;fe;0
1990;8;fm;4.75;0;fe;0
1990;8;fm;5.25;0;fe;0
1990;8;fm;5.75;0;fe;0
1990;8;fm;6.25;0;fe;0
1990;8;fm;6.75;0;fe;0
1990;8;fm;7.25;0;fe;0
1990;8;fm;7.75;0;fe;0
1990;8;fm;8.25;0;fe;0
1990;8;fm;8.75;0;fe;0
1990;8;fm;9.25;0;fe;0
1990;8;fm;9.75;0;fe;0
1990;8;fm;10.25;0;fe;0
1990;8;fm;10.75;0;fe;0
1990;8;fm;11.25;0;fe;0
1990;8;fm;11.75;0;fe;0
1990;8;fm;12.25;0;fe;0
1990;8;fm;12.75;0;fe;0
1990;8;fm;13.25;0;fe;0
1990;8;fm;13.75;0;fe;0
1990;8;fm;14.25;0;fe;0
1990;8;fm;14.75;0;fe;0
1990;8;fm;15.25;0;fe;0
1990;8;fm;15.75;0;fe;0
1990;8;fm;16.25;0;fe;0
1990;8;fm;16.75;0;fe;0
1990;8;fm;17.25;0;fe;0
1990;8;fm;17.75;0;fe;0
1990;8;fm;18.25;0;fe;0
1990;8;fm;18.75;0;fe;0
1990;8;fm;19.25;0;fe;0
1990;8;fm;19.75;0;fe;0
1990;8;fm;20.25;0;fe;0
1990;8;fm;20.75;0;fe;0
1990;8;fm;21.25;0;fe;0
1990;8;fm;21.75;0;fe;0.687792152
1990;8;fm;22.25;0;fe;1.5096961242
1990;8;fm;22.75;0;fe;1.8105384379
1990;8;fm;23.25;0;fe;6.1720014683
1990;8;fm;23.75;0;fe;12.504382892
1990;8;fm;24.25;0;fe;20.262864264
1990;8;fm;24.75;0;fe;33.102440108
1990;8;fm;25.25;0;fe;35.096682296
1990;8;fm;25.75;0;fe;34.468181078
1990;8;fm;26.25;0;fe;30.202149317
1990;8;fm;26.75;0;fe;27.899040044
1990;8;fm;27.25;0;fe;13.916800318
1990;8;fm;27.75;0;fe;9.1270800845
1990;8;fm;28.25;0;fe;4.8113986612
1990;8;fm;28.75;0;fe;3.2866344418
1990;8;fm;29.25;0;fe;1.8804809562
1990;8;fm;29.75;0;fe;0.4556799812
1990;8;fm;30.25;0;fe;0.2429369518
1990;8;fm;30.75;0;fe;0
1990;8;fm;31.25;0;fe;0
1990;8;fm;31.75;0;fe;0
1990;8;fm;32.25;0;fe;0
1990;8;fm;32.75;0;fe;0
1990;8;fm;33.25;0;fe;0
1990;8;fm;33.75;0;fe;0
1990;8;fm;34.25;0;fe;0
1990;8;fm;34.75;0;fe;0
1990;8;fm;35.25;0;fe;0
1990;8;fm;35.75;0;fe;0
1990;8;fm;36.25;0;fe;0
1990;8;fp;0.25;0;fe;0
1990;8;fp;0.75;0;fe;0
1990;8;fp;1.25;0;fe;0
1990;8;fp;1.75;0;fe;0
1990;8;fp;2.25;0;fe;0
1990;8;fp;2.75;0;fe;0
1990;8;fp;3.25;0;fe;0
1990;8;fp;3.75;0;fe;0
1990;8;fp;4.25;0;fe;0
1990;8;fp;4.75;0;fe;0
1990;8;fp;5.25;0;fe;0
1990;8;fp;5.75;0;fe;0
1990;8;fp;6.25;0;fe;0
1990;8;fp;6.75;0;fe;0
1990;8;fp;7.25;0;fe;0
1990;8;fp;7.75;0;fe;0
1990;8;fp;8.25;0;fe;0
1990;8;fp;8.75;0;fe;0
1990;8;fp;9.25;0;fe;0
1990;8;fp;9.75;0;fe;0
1990;8;fp;10.25;0;fe;0
1990;8;fp;10.75;0;fe;0
1990;8;fp;11.25;0;fe;0
1990;8;fp;11.75;0;fe;0
1990;8;fp;12.25;0;fe;0
1990;8;fp;12.75;0;fe;0
1990;8;fp;13.25;0;fe;0
1990;8;fp;13.75;0;fe;0
1990;8;fp;14.25;0;fe;0
1990;8;fp;14.75;0;fe;0
1990;8;fp;15.25;0;fe;0
1990;8;fp;15.75;0;fe;0
1990;8;fp;16.25;0;fe;0
1990;8;fp;16.75;0;fe;0
1990;8;fp;17.25;0;fe;0
1990;8;fp;17.75;0;fe;0
